大尖山,,"1,305.31 ",一等三角點本點,1,◎本點,花崗石,23.59001497 ,120.62314308 ,210708.988 ,2609876.642 ,古坑 梅山,,,"另有""公(26)""圖根點但找不到"
玉山,,"3,952.38 ",一等三角點本點,1,◎本點,花崗石,23.46999192 ,120.95726550 ,244806.455 ,2596535.633 ,南投信義 阿里山 桃源,,,另有3-IC357但找不到
前東港,,10.66 ,一等三角點本點,1,◎本點,花崗石,23.38247897 ,120.18875156 ,166243.140 ,2587077.802 ,布袋,,一等天文點,"另有3-384但找不到；另有省府""補鄧(15)""圖根補點但找不到"
大棟山,,"1,241.19 ",一等三角點本點,1,◎本點,花崗石,23.31132933 ,120.52265136 ,200350.880 ,2579046.136 ,白河 大埔,,,
番庄,番子寮 北頭洋,18.64 ,一等三角點本點,1,◎本點,花崗石,23.17511667 ,120.16417644 ,163598.535 ,2564127.247 ,佳里,,,另有3-559但找不到，另有3-IC059在東北200M
北嶺山,,293.22 ,一等三角點本點,1,◎本點,花崗石,23.10363475 ,120.41856936 ,189612.882 ,2556084.880 ,山上 玉井,找不到,,"另有1-IC005；另有3-569但找不到；另有""植(01)""圖根補點但找不到"
廓亭山,白雲山,"1,043.77 ",一等三角點本點,1,◎本點,花崗石,23.05583261 ,120.62255383 ,210495.159 ,2550723.093 ,甲仙 六龜,,,
魁斗山,,26.27 ,一等三角點本點,1,◎本點,花崗石,22.97901989 ,120.20392306 ,167550.039 ,2542388.729 ,台南南區,,,找不到，另有1-IC004但找不到；另有3-576但找不到
中寮山,,420.52 ,一等三角點本點,1,◎本點,花崗石,22.83008811 ,120.43245383 ,190919.138 ,2525788.643 ,田寮 旗山,軍事管制區,,另有3-528但找不到
高雄山,,356.15 ,一等三角點本點,1,◎本點,花崗石,22.64277061 ,120.26633469 ,173765.989 ,2505121.831 ,鼓山,找不到,,另有1-IC006但找不到；另有3-893但找不到
磚仔窯,,17.84 ,一等三角點基線點,1,○基線點,花崗石,22.63641225 ,120.42393025 ,189961.168 ,2504346.219 ,大寮,找不到,基線北,
大寮,,12.84 ,一等三角點基線點,1,○基線點,花崗石,22.59180203 ,120.42843608 ,190405.348 ,2499405.061 ,大寮,在屏東山友處,基線南,
北大武山,,"3,091.97 ",一等三角點本點,1,◎本點,花崗石,22.62704250 ,120.76139447 ,224645.875 ,2503213.855 ,泰武 金峰,,,
鳳山,,140.49 ,一等三角點本點,1,◎本點,花崗石,22.53011533 ,120.38171181 ,185572.984 ,2492593.967 ,小港 林園,,一等天文點,另有3-894但找不到
加奈美山,,780.77 ,一等三角點本點,1,◎本點,花崗石,22.43214544 ,120.91002981 ,239910.854 ,2481617.154 ,大武,,,"另有""主久(14)""圖根點在東北5.5M"
塭子,,6.82 ,一等三角點本點,1,◎本點,花崗石,22.40401686 ,120.53495764 ,201293.426 ,2478574.358 ,佳冬,,,"西北100M另有：3-554在但找不到、省府""補陳(20)""圖根補點但找不到"
琉球嶼,,87.14 ,一等三角點本點,1,◎本點,花崗石,22.34092842 ,120.37871578 ,185178.040 ,2471647.088 ,琉球,,,另有明治40年海軍測點
里龍山,,"1,061.88 ",一等三角點本點,1,◎本點,花崗石,22.16382314 ,120.73282628 ,221617.993 ,2451929.819 ,獅子 牡丹,,,
埤亦山,,362.88 ,一等三角點本點,1,◎本點,花崗石,22.07205319 ,120.88131708 ,236923.976 ,2441749.808 ,滿州,,,
清水大山,清水山,"2,408.03 ",一等三角點本點,1,◎本點,花崗石,24.23533508 ,121.65151056 ,315335.331 ,2681445.593 ,秀林,,,
塔山,,"2,448.91 ",一等三角點本點,1,◎本點,花崗石,24.14188936 ,121.55109169 ,305178.506 ,2671052.341 ,秀林,,,
奇萊主山北峰,,"3,606.97 ",一等三角點本點,1,◎本點,花崗石,24.11833714 ,121.33454575 ,283176.681 ,2668375.391 ,秀林,,,
米侖山,美崙山,108.40 ,一等三角點本點,1,◎本點,花崗石,23.99010392 ,121.61407028 ,311652.315 ,2654269.309 ,花蓮,找不到,一等天文點,另有1-IC008；另有3-771但找不到
木瓜山,,"2,426.82 ",一等三角點本點,1,◎本點,花崗石,23.91318728 ,121.44515261 ,294491.688 ,2645686.803 ,秀林,,,
月眉山,,614.49 ,一等三角點本點,1,◎本點,花崗石,23.82548150 ,121.55203906 ,305411.430 ,2636012.058 ,壽豐,,,
虎頭山,,"1,746.88 ",一等三角點本點,1,◎本點,花崗石,23.56143536 ,121.32296492 ,282140.995 ,2606698.546 ,萬榮 卓溪,,,"另有""主武(01)""森林點"
八里灣山,,923.70 ,一等三角點本點,1,◎本點,花崗石,23.54472411 ,121.48897350 ,299094.265 ,2604895.673 ,瑞穗 豐濱,,,
玉里山,,"2,156.94 ",一等三角點本點,1,◎本點,花崗石,23.37976044 ,121.24328272 ,274040.686 ,2586564.018 ,卓溪,,,
三間屋山,,"1,333.86 ",一等三角點本點,1,◎本點,花崗石,23.37053525 ,121.42996458 ,293127.450 ,2585586.658 ,長濱,,,
成廣澳山,,"1,597.53 ",一等三角點本點,1,◎本點,花崗石,23.19039789 ,121.33828289 ,283801.853 ,2565613.368 ,富里 成功,,,
麻荖漏山,新港山,"1,682.26 ",一等三角點本點,1,◎本點,花崗石,23.13967753 ,121.32222681 ,282170.580 ,2559992.822 ,富里 成功,,破損
三仙台,,7.34 ,一等三角點本點,1,◎本點,花崗石,23.12510111 ,121.41638317 ,291817.600 ,2558402.938 ,成功,,,
都蘭山,,"1,190.44 ",一等三角點本點,1,◎本點,花崗石,22.89509950 ,121.18832044 ,268491.766 ,2532886.335 ,延平 東河,,,
馬蘭社,,9.25 ,一等三角點本點,1,◎本點,花崗石,22.72996400 ,121.13655039 ,263197.147 ,2514595.927 ,台東,找不到,一等天文點,"另有1-IC027但找不到；另有""久(06)""圖根點"
火燒山,,280.31 ,一等三角點本點,1,◎本點,花崗石,22.65257578 ,121.48345678 ,298858.399 ,2506100.029 ,綠島,軍事管制區,,"另有""倡(02)""圖根點"
觀音,,24.20 ,一等三角點補點,1,●補點,花崗石,25.03748086 ,121.07609631 ,256849.313 ,2770134.675 ,觀音,,,"另有""澤(02)""圖根點"
土庫岳,大坪山,389.07 ,一等三角點補點,1,●補點,花崗石,25.02313783 ,121.63552361 ,313307.982 ,2768695.082 ,南港 深坑,,一等天文點,另有3-1134
龜崙山,大棟山,405.34 ,一等三角點補點,1,●補點,花崗石,24.99579717 ,121.38417839 ,287950.080 ,2765571.037 ,樹林 龜山,,,"另有""新(18)""圖根點"
牛牯嶺,鳳山,126.70 ,一等三角點補點,1,●補點,花崗石,24.87557953 ,120.96822997 ,245960.563 ,2752201.175 ,竹北 新豐,挖除，找不到,,"另有1-IC021在東650M但找不到；另有3-IC178在北500M；另有""大(10)""圖根點但找不到"
小竹坑山,石門山,550.82 ,一等三角點補點,1,●補點,花崗石,24.80999311 ,121.22941628 ,272363.423 ,2744956.207 ,龍潭,,,"另有殖產局""諸(03)""圖根補點"
大分林山,,334.71 ,一等三角點補點,1,●補點,花崗石,24.68044178 ,121.05001281 ,254231.728 ,2730588.869 ,北埔,,,另有3-91
雪山,,"3,885.79 ",一等三角點補點,1,●補點,花崗石,24.38340386 ,121.23176492 ,272679.921 ,2697710.422 ,泰安 和平,頭部在山友處,,
三塊厝,,19.78 ,一等三角點補點,1,●補點,花崗石,24.76784319 ,121.81665319 ,331757.602 ,2740515.048 ,壯圍,找不到，埋在沙裏？,基網,另有1-IC029
廣興,,16.31 ,一等三角點補點,1,●補點,花崗石,24.67076819 ,121.75322294 ,325401.721 ,2729726.080 ,冬山,"""紅水溝""基石移到此？",,
紅水溝,,11.96 ,一等三角點補點,1,●補點,花崗石,24.66236853 ,121.76257056 ,326353.000 ,2728801.000 ,冬山,"找不到，移到""廣興""？",基網,
埤頭山,,486.31 ,一等三角點補點,1,●補點,花崗石,24.13836578 ,120.75288892 ,224056.704 ,2670574.902 ,太平,,只剩基磐另有3-108但找不到，另有3-MC145在三汀山
小埔山,,611.61 ,一等三角點補點,1,●補點,花崗石,24.01455156 ,120.94112256 ,243181.745 ,2656841.787 ,埔里,,基網，一等基石改為2-IC052,另有水資會濁同61
浸水,,12.97 ,一等三角點補點,1,●補點,花崗石,23.98290986 ,120.43262681 ,191438.166 ,2653452.608 ,埔鹽,,公墓內水泥柱上另有3-171但找不到，另有3-MC149在東南800M
虎子山,,556.45 ,一等三角點補點,1,●補點,花崗石,23.97387453 ,120.98202456 ,247342.198 ,2652335.851 ,埔里,找不到,基網，一等測量原點、一等天文點,"另有""主(11)""圖根點但找不到；另有內導508、內導528但找不到，另有內導593、內導598"
牛相山,,591.22 ,一等三角點補點,1,●補點,花崗石,23.96545189 ,120.92938831 ,241985.362 ,2651404.655 ,埔里,,一等基石改為2-IC053,
橫屏山,,"1,508.33 ",一等三角點補點,1,●補點,花崗石,23.94576578 ,121.01866678 ,251071.364 ,2649223.023 ,南投仁愛,嚴重破損,一等基石改為2-IC055,
九份二山,,"1,173.63 ",一等三角點補點,1,●補點,花崗石,23.93456900 ,120.84164792 ,233052.344 ,2647991.614 ,國姓,,,
白葉山,,853.24 ,一等三角點補點,1,●補點,花崗石,23.93137858 ,120.94845008 ,243923.975 ,2647630.342 ,埔里 魚池,,一等基石改為2-IC054,"另有""主(13)""圖根點但找不到"
虎尾,,30.18 ,一等三角點補點,1,●補點,花崗石,23.71229711 ,120.43391156 ,191449.198 ,2623482.904 ,虎尾,,"一等基石另刻""內補一號""做1-IC001",另有3-330在南400M但找不到
