49,[[貓囒山]],[[南投縣]],[[魚池鄉 (台灣)|魚池鄉]] ||align=right|1,016, ||新入選
50,[[集集大山]],[[南投縣]],[[集集鎮]]、[[中寮鄉]] ||align=right|1,392,|| 近[[水里鄉]]界
51,[[松柏坑山]]（松柏嶺）|| [[彰化縣]]、[[南投縣]],[[二水鄉]]、[[名間鄉]] ||align=right|430,||
52,[[後尖山]],[[南投縣]],[[魚池鄉 (台灣)|魚池鄉]]、[[水里鄉]] ||align=right|1,008,||
53,[[鳳凰山 (南投縣)|鳳凰山]],[[南投縣]],[[鹿谷鄉]] ||align=right|1,696,||
54,[[金柑樹山]],[[南投縣]],[[竹山鎮]]、[[信義鄉]] ||align=right| 2,091,||新入選
55,[[石壁山]],[[雲林縣]]、[[嘉義縣]],[[古坑鄉]]、[[阿里山鄉]] ||align=right|1,751,|| 近[[竹山鎮 (台灣)|竹山鎮]]界
56,[[大尖山 (雲嘉)|雲嘉大尖山]],[[雲林縣]]、[[嘉義縣]],[[古坑鄉]]、[[梅山鄉 (台灣)|梅山鄉]] ||align=right|1,299,||
57,[[梨子腳山]]（掘尺嶺山）,[[嘉義縣]],[[梅山鄉 (台灣)|梅山鄉]] ||align=right|1,176,||
58,[[獨立山 (嘉義縣)|獨立山]],[[嘉義縣]],[[竹崎鄉]] ||align=right|840,||
59,[[大塔山]],[[嘉義縣]]、[[南投縣]],[[阿里山鄉]]、[[信義鄉 (台灣)|信義鄉]] ||align=right|2,663,||
60,[[大凍山 (嘉義縣)|大凍山]],[[嘉義縣]],[[梅山鄉 (台灣)|梅山鄉]]、[[阿里山鄉]] ||align=right|1,967,|| 近[[竹崎鄉]]界
61,[[大湖尖山]],[[嘉義縣]],[[竹崎鄉]]、[[番路鄉]] ||align=right|1,313,||
62,[[紅毛埤山]],[[嘉義市]],[[東區 (嘉義市)|東區]] ||align=right|150,||
63,[[大凍山 (台南嘉義)|大棟山]],[[臺南市]]、[[嘉義縣]],[[白河區]]、[[大埔鄉]] ||align=right|1,241,||
64,[[崁頭山]],[[臺南市]],[[東山區 (臺南市)|東山區]] ||align=right|844,||
65,[[三腳南山]],[[嘉義縣]]、[[臺南市]],[[大埔鄉]]、[[南化區]] ||align=right|1,186,||
66,[[西阿里關山]],[[臺南市]]、[[高雄市]],[[南化區]]、[[甲仙區]] ||align=right|973,||
67,[[竹子尖山]],[[臺南市]],[[楠西區]]、[[南化區]] ||align=right|1,090,||
68,[[東藤枝山]],[[高雄市]],[[桃源區]] ||align=right|1,804,||
69,[[白雲山 (台灣)|白雲山]],[[高雄市]],[[甲仙區]] ||align=right|1,044,||
70,[[刣牛湖山]],[[臺南市]]、[[高雄市]],[[南化區]]、[[杉林區]] ||align=right|730,||
71,[[鳴海山]],[[高雄市]],[[茂林區]] ||align=right|1,411,||
72,[[旂尾山]],[[高雄市]],[[旗山區]] ||align=right|318,||
73,[[尾寮山]],[[屏東縣]]、[[高雄市]],[[茂林區]]、[[三地門鄉]] ||align=right|1,427,||
74,[[大崗山]],[[高雄市]],[[岡山區]]、[[阿蓮區]]、[[田寮區]] ||align=right|312,||
75,[[觀音山 (高雄市)|觀音山]],[[高雄市]],[[大社區]]、[[仁武區]] ||align=right|169,||
76,[[笠頂山]],[[屏東縣]],[[瑪家鄉]] ||align=right|659,||
77,[[壽山 (高雄市)|壽山]],[[高雄市]],[[鼓山區]] ||align=right|356,||
78,[[棚集山]],[[屏東縣]],[[來義鄉]] ||align=right|899,||
79,[[女仍山]],[[屏東縣]],[[獅子鄉 (台灣)|獅子鄉]]、[[牡丹鄉]] ||align=right|804,||
80,[[里龍山]],[[屏東縣]],[[獅子鄉 (台灣)|獅子鄉]]、[[牡丹鄉]] ||align=right|1,062,||
81,[[萬里得山]],[[屏東縣]],[[滿州鄉]] ||align=right|528,||
82,[[灣坑頭山]],[[宜蘭縣]],[[頭城鎮]] ||align=right|616,||
83,[[三角崙山]],[[新北市]],[[坪林區]] ||align=right|1,029,||新入選，近[[宜蘭縣]][[礁溪鄉]]邊界
84,[[鵲子山]],[[宜蘭縣]],[[礁溪鄉]] ||align=right|679,|| 礁溪富士山
85,[[三星山]],[[宜蘭縣]],[[大同鄉 (台灣)|大同鄉]] ||align=right|2,352,||
86,[[祖輪山]],[[花蓮縣]],[[秀林鄉]] ||align=right|1,599,||新入選
87,[[立霧山]],[[花蓮縣]],[[秀林鄉]] ||align=right|1,274,||
88,[[初音山]],[[花蓮縣]],[[吉安鄉]]、[[秀林鄉]] ||align=right|906,||新入選
89,[[鯉魚山]],[[花蓮縣]],[[壽豐鄉]] ||align=right|601,||
90,[[月眉山]],[[花蓮縣]],[[壽豐鄉]] ||align=right|614,||新入選
91,[[八里灣山]],[[花蓮縣]],[[豐濱鄉]]、[[瑞穗鄉]] ||align=right|924,||新入選、貓公富士山
92,[[萬人山]],[[花蓮縣]],[[富里鄉]] ||align=right|886,||新入選
93,[[都蘭山]],[[台東縣]],[[東河鄉 (台灣)|東河鄉]]、[[延平鄉]] ||align=right|1,190,|| 台東富士山
94,[[太麻里山]],[[台東縣]],[[太麻里鄉]] ||align=right|1,340,||新入選
95,[[加奈美山]],[[台東縣]],[[大武鄉 (台灣)|大武鄉]] ||align=right|780,||新入選
96,[[巴塱衛山]],[[台東縣]],[[大武鄉 (台灣)|大武鄉]] ||align=right|614,||新入選
97,[[紅頭山]],[[台東縣]],[[蘭嶼鄉]] ||align=right|552,||
98,[[雲台山 (連江縣)|雲台山]],[[連江縣 (中華民國)|連江縣]],[[南竿鄉]] ||align=right|248,||
99,[[太武山]],[[金門縣]],[[金湖鎮]] ||align=right|253,||
100,[[蛇頭山]],[[澎湖縣]],[[馬公市]] ||align=right|20,||
